 Date= 1234 UT=56789. Lat=  0.0 Lon=   0.0 F107=100. F107A=100. Ap=  4.
 SZA= 56.7 LST=15.77 Dip= 22.7 Clat= -7.7 Clon=   1.5 CSZA= 60.2 Ec= 0.006 Ie=0
  Z     Photoion   EIion    Ecalc     O+(2P)    O+(2D)    O+(4S)     N+         N2+       O2+       NO+
  80.0  1.91E+01  5.35E-01  5.71E+03  7.42E-08  4.57E-08  5.82E-06  1.66E-06  7.54E-05  2.30E+01  5.69E+03
  81.0  2.15E+01  4.53E-01  6.02E+03  7.60E-08  4.68E-08  5.97E-06  1.72E-06  7.55E-05  1.95E+01  6.00E+03
  82.0  2.37E+01  6.65E-01  6.34E+03  1.32E-07  8.14E-08  1.04E-05  3.01E-06  1.31E-04  2.85E+01  6.31E+03
  83.0  2.58E+01  9.64E-01  6.63E+03  2.27E-07  1.40E-07  1.79E-05  5.19E-06  2.25E-04  4.12E+01  6.59E+03
  84.0  2.76E+01  1.34E+00  6.89E+03  3.72E-07  2.29E-07  2.95E-05  8.58E-06  3.68E-04  5.69E+01  6.83E+03
  85.0  2.93E+01  1.76E+00  7.12E+03  5.76E-07  3.55E-07  4.62E-05  1.34E-05  5.70E-04  7.45E+01  7.05E+03
  86.0  3.08E+01  2.19E+00  7.32E+03  8.45E-07  5.21E-07  6.86E-05  1.98E-05  8.33E-04  9.21E+01  7.23E+03
  87.0  3.22E+01  2.59E+00  7.48E+03  1.18E-06  7.30E-07  9.80E-05  2.79E-05  1.16E-03  1.09E+02  7.37E+03
  88.0  3.33E+01  2.99E+00  7.62E+03  1.61E-06  9.98E-07  1.37E-04  3.83E-05  1.56E-03  1.24E+02  7.49E+03
  89.0  3.43E+01  3.50E+00  7.74E+03  2.25E-06  1.39E-06  1.99E-04  5.38E-05  2.13E-03  1.44E+02  7.59E+03
  90.0  3.53E+01  4.48E+00  7.89E+03  3.47E-06  2.17E-06  3.23E-04  8.34E-05  3.19E-03  1.84E+02  7.70E+03
  91.0  3.61E+01  6.74E+00  8.16E+03  6.43E-06  4.04E-06  6.32E-04  1.53E-04  5.59E-03  2.75E+02  7.88E+03
  92.0  3.72E+01  1.18E+01  8.72E+03  1.41E-05  8.90E-06  1.47E-03  3.27E-04  1.14E-02  4.81E+02  8.23E+03
  93.0  3.94E+01  2.22E+01  9.82E+03  3.32E-05  2.12E-05  3.68E-03  7.46E-04  2.51E-02  9.19E+02  8.87E+03
  94.0  4.62E+01  4.13E+01  1.18E+04  7.78E-05  5.00E-05  9.20E-03  1.69E-03  5.50E-02  1.81E+03  9.98E+03
  95.0  6.71E+01  7.39E+01  1.54E+04  1.75E-04  1.13E-04  2.21E-02  3.70E-03  1.16E-01  3.59E+03  1.17E+04
  96.0  1.21E+02  1.26E+02  2.09E+04  3.74E-04  2.45E-04  5.05E-02  7.73E-03  2.32E-01  6.83E+03  1.39E+04
