 Date=99355 UT=    0. Lat= 70.0 Lon=   0.0 F107=100. F107A=100. Ap=  4.
 SZA=133.4 LST= 0.00 Dip= 77.7 Ec= 0.094 Ie=0
   Z    Photoion   EIion    Ecalc     O+(2P)    O+(2D)    O+(4S)     N+         N2+       O2+       NO+
  80.0  1.36E-01  3.74E-13  5.04E+02  7.93E-20  4.89E-20  6.46E-18  1.65E-18  8.75E-17  6.28E-12  5.04E+02
  81.0  1.49E-01  3.20E-13  5.26E+02  7.86E-20  4.84E-20  6.41E-18  1.65E-18  8.69E-17  5.38E-12  5.26E+02
  82.0  1.60E-01  3.33E-13  5.46E+02  9.45E-20  5.82E-20  7.71E-18  1.98E-18  1.04E-16  5.59E-12  5.46E+02
  83.0  1.71E-01  3.51E-13  5.63E+02  1.15E-19  7.10E-20  9.43E-18  2.43E-18  1.27E-16  5.89E-12  5.63E+02
  84.0  1.80E-01  5.69E-13  5.78E+02  2.15E-19  1.33E-19  1.77E-17  4.56E-18  2.39E-16  9.54E-12  5.78E+02
  85.0  1.89E-01  3.43E-12  5.91E+02  1.50E-18  9.23E-19  1.24E-16  3.19E-17  1.66E-15  5.74E-11  5.91E+02
  86.0  1.97E-01  3.83E-11  6.02E+02  1.93E-17  1.19E-17  1.63E-15  4.13E-16  2.14E-14  6.40E-10  6.02E+02
  87.0  2.04E-01  4.21E-10  6.11E+02  2.46E-16  1.52E-16  2.12E-14  5.27E-15  2.70E-13  7.02E-09  6.11E+02
  88.0  2.11E-01  4.20E-09  6.19E+02  2.83E-15  1.75E-15  2.52E-13  6.09E-14  3.07E-12  7.03E-08  6.19E+02
  89.0  2.16E-01  3.77E-08  6.24E+02  2.94E-14  1.83E-14  2.73E-12  6.33E-13  3.14E-11  6.66E-07  6.24E+02
  90.0  2.21E-01  3.05E-07  6.29E+02  2.76E-13  1.72E-13  2.70E-11  5.94E-12  2.88E-10  6.52E-06  6.29E+02
  91.0  2.26E-01  2.23E-06  6.32E+02  2.35E-12  1.47E-12  2.45E-10  5.04E-11  2.37E-09  6.74E-05  6.32E+02
  92.0  2.30E-01  1.48E-05  6.34E+02  1.81E-11  1.14E-11  2.03E-09  3.88E-10  1.76E-08  6.47E-04  6.34E+02
  93.0  2.33E-01  8.86E-05  6.35E+02  1.27E-10  8.09E-11  1.54E-08  2.71E-09  1.19E-07  5.06E-03  6.35E+02
  94.0  2.37E-01  4.83E-04  6.37E+02  8.12E-10  5.23E-10  1.06E-07  1.72E-08  7.22E-07  3.09E-02  6.37E+02
  95.0  2.45E-01  2.39E-03  6.46E+02  4.73E-09  3.08E-09  6.69E-07  9.95E-08  3.98E-06  1.47E-01  6.46E+02
  96.0  2.64E-01  1.07E-02  6.78E+02  2.51E-08  1.65E-08  3.84E-06  5.24E-07  1.99E-05  5.67E-01  6.77E+02
  97.0  3.10E-01  4.35E-02  7.66E+02  1.22E-07  8.10E-08  2.00E-05  2.51E-06  9.08E-05  1.83E+00  7.63E+02
  98.0  4.08E-01  1.60E-01  9.70E+02  5.36E-07  3.62E-07  9.42E-05  1.09E-05  3.76E-04  5.13E+00  9.58E+02
  99.0  5.80E-01  5.37E-01  1.36E+03  2.15E-06  1.47E-06  4.04E-04  4.35E-05  1.41E-03  1.31E+01  1.33E+03
 100.0  8.37E-01  1.63E+00  2.02E+03  7.87E-06  5.46E-06  1.57E-03  1.57E-04  4.85E-03  3.14E+01  1.95E+03
 101.0  1.18E+00  4.49E+00  3.08E+03  2.63E-05  1.85E-05  5.55E-03  5.20E-04  1.52E-02  6.67E+01  2.94E+03
 102.0  1.57E+00  1.13E+01  4.65E+03  8.00E-05  5.71E-05  1.79E-02  1.57E-03  4.34E-02  1.35E+02  4.38E+03
 103.0  1.93E+00  2.58E+01  6.87E+03  2.23E-04  1.62E-04  5.27E-02  4.33E-03  1.13E-01  2.58E+02  6.39E+03
 104.0  2.24E+00  5.41E+01  9.86E+03  5.72E-04  4.20E-04  1.42E-01  1.10E-02  2.73E-01  4.73E+02  9.04E+03
 105.0  2.45E+00  1.05E+02  1.37E+04  1.35E-03  1.01E-03  3.54E-01  2.58E-02  6.07E-01  8.15E+02  1.24E+04
 106.0  2.55E+00  1.87E+02  1.84E+04  2.97E-03  2.24E-03  8.17E-01  5.63E-02  1.25E+00  1.31E+03  1.64E+04
 107.0  2.56E+00  3.12E+02  2.40E+04  6.08E-03  4.66E-03  1.76E+00  1.14E-01  2.41E+00  2.00E+03  2.10E+04
 108.0  2.47E+00  4.87E+02  3.03E+04  1.17E-02  9.07E-03  3.55E+00  2.18E-01  4.36E+00  2.91E+03  2.61E+04
 109.0  2.33E+00  7.15E+02  3.72E+04  2.11E-02  1.66E-02  6.74E+00  3.92E-01  7.41E+00  4.01E+03  3.15E+04
 110.0  2.16E+00  9.93E+02  4.45E+04  3.61E-02  2.88E-02  1.21E+01  6.66E-01  1.19E+01  5.22E+03  3.72E+04
 111.5  1.85E+00  1.48E+03  5.59E+04  7.38E-02  6.00E-02  2.67E+01  1.35E+00  2.23E+01  7.50E+03  4.57E+04
 113.0  1.55E+00  1.98E+03  6.64E+04  1.34E-01  1.11E-01  5.23E+01  2.42E+00  3.73E+01  9.65E+03  5.34E+04
 114.5  1.28E+00  2.42E+03  7.58E+04  2.23E-01  1.87E-01  9.36E+01  3.98E+00  5.70E+01  1.19E+04  6.01E+04
 116.0  1.04E+00  2.76E+03  8.38E+04  3.41E-01  2.91E-01  1.55E+02  6.06E+00  8.11E+01  1.38E+04  6.55E+04
 118.0  7.97E-01  3.12E+03  9.37E+04  5.65E-01  4.91E-01  2.86E+02  9.92E+00  1.22E+02  1.65E+04  7.20E+04
 120.0  6.14E-01  3.15E+03  9.99E+04  8.15E-01  7.19E-01  4.66E+02  1.42E+01  1.63E+02  1.80E+04  7.59E+04
 122.0  4.82E-01  3.10E+03  1.03E+05  1.11E+00  9.92E-01  6.96E+02  1.92E+01  2.06E+02  1.93E+04  7.71E+04
 124.0  3.90E-01  3.03E+03  1.05E+05  1.43E+00  1.30E+00  9.79E+02  2.46E+01  2.46E+02  2.05E+04  7.79E+04
 126.0  3.26E-01  2.95E+03  1.07E+05  1.79E+00  1.64E+00  1.32E+03  3.06E+01  2.87E+02  2.16E+04  7.81E+04
 128.0  2.85E-01  2.86E+03  1.08E+05  2.19E+00  2.03E+00  1.72E+03  3.72E+01  3.27E+02  2.25E+04  7.78E+04
 130.0  2.69E-01  2.75E+03  1.09E+05  2.61E+00  2.45E+00  2.19E+03  4.42E+01  3.65E+02  2.32E+04  7.71E+04
 132.0  2.81E-01  2.63E+03  1.09E+05  3.07E+00  2.90E+00  2.72E+03  5.17E+01  4.02E+02  2.38E+04  7.60E+04
 134.0  3.25E-01  2.51E+03  1.08E+05  3.56E+00  3.39E+00  3.30E+03  5.94E+01  4.36E+02  2.42E+04  7.47E+04
 136.0  4.05E-01  2.39E+03  1.08E+05  4.07E+00  3.91E+00  3.95E+03  6.74E+01  4.69E+02  2.46E+04  7.33E+04
 138.0  5.21E-01  2.28E+03  1.07E+05  4.61E+00  4.46E+00  4.66E+03  7.56E+01  4.99E+02  2.48E+04  7.16E+04
 140.0  6.72E-01  2.16E+03  1.06E+05  5.17E+00  5.05E+00  5.42E+03  8.40E+01  5.27E+02  2.49E+04  6.99E+04
 142.0  8.52E-01  2.05E+03  1.05E+05  5.76E+00  5.66E+00  6.23E+03  9.25E+01  5.52E+02  2.51E+04  6.80E+04
 144.0  1.06E+00  1.94E+03  1.03E+05  6.37E+00  6.31E+00  7.10E+03  1.01E+02  5.75E+02  2.51E+04  6.61E+04
 146.0  1.28E+00  1.84E+03  1.02E+05  7.01E+00  6.99E+00  8.02E+03  1.10E+02  5.96E+02  2.50E+04  6.41E+04
 148.0  1.52E+00  1.74E+03  1.01E+05  7.66E+00  7.70E+00  8.99E+03  1.18E+02  6.15E+02  2.48E+04  6.22E+04
 150.0  1.75E+00  1.65E+03  9.94E+04  8.34E+00  8.45E+00  1.00E+04  1.27E+02  6.32E+02  2.45E+04  6.02E+04
 153.0  2.09E+00  1.53E+03  9.77E+04  9.46E+00  9.70E+00  1.17E+04  1.40E+02  6.58E+02  2.42E+04  5.74E+04
 156.0  2.41E+00  1.40E+03  9.57E+04  1.06E+01  1.10E+01  1.34E+04  1.53E+02  6.74E+02  2.36E+04  5.46E+04
 159.0  2.68E+00  1.28E+03  9.39E+04  1.17E+01  1.23E+01  1.52E+04  1.65E+02  6.87E+02  2.30E+04  5.18E+04
 162.0  2.90E+00  1.17E+03  9.21E+04  1.29E+01  1.37E+01  1.71E+04  1.77E+02  6.94E+02  2.23E+04  4.90E+04
 165.0  3.06E+00  1.07E+03  9.04E+04  1.40E+01  1.52E+01  1.91E+04  1.88E+02  6.98E+02  2.15E+04  4.63E+04
 168.0  3.17E+00  9.82E+02  8.88E+04  1.52E+01  1.67E+01  2.12E+04  1.99E+02  6.99E+02  2.07E+04  4.36E+04
 172.0  3.24E+00  8.73E+02  8.70E+04  1.69E+01  1.90E+01  2.42E+04  2.14E+02  6.98E+02  1.96E+04  4.02E+04
 176.0  3.23E+00  7.72E+02  8.53E+04  1.85E+01  2.13E+01  2.73E+04  2.28E+02  6.91E+02  1.84E+04  3.68E+04
 180.0  3.16E+00  6.83E+02  8.39E+04  2.01E+01  2.38E+01  3.05E+04  2.41E+02  6.80E+02  1.72E+04  3.36E+04
 185.0  3.01E+00  5.86E+02  8.27E+04  2.22E+01  2.73E+01  3.49E+04  2.57E+02  6.63E+02  1.58E+04  2.97E+04
 190.0  2.81E+00  5.01E+02  8.20E+04  2.41E+01  3.09E+01  3.96E+04  2.73E+02  6.42E+02  1.43E+04  2.60E+04
 195.0  2.58E+00  4.29E+02  8.18E+04  2.59E+01  3.49E+01  4.45E+04  2.87E+02  6.18E+02  1.28E+04  2.26E+04
 200.0  2.35E+00  3.66E+02  8.23E+04  2.75E+01  3.92E+01  4.98E+04  3.02E+02  5.92E+02  1.14E+04  1.94E+04
 205.0  2.11E+00  3.13E+02  8.23E+04  2.89E+01  4.38E+01  5.47E+04  3.13E+02  5.67E+02  1.00E+04  1.67E+04
 211.0  1.85E+00  2.59E+02  8.24E+04  3.03E+01  5.00E+01  5.92E+04  3.31E+02  5.37E+02  8.37E+03  1.38E+04
 217.0  1.60E+00  2.15E+02  8.24E+04  3.12E+01  5.68E+01  6.32E+04  3.50E+02  5.07E+02  6.90E+03  1.14E+04
