 Date=99355 UT=    0. Lat= 70.0 Lon=   0.0 F107=100. F107A=100. Ap=  4.
 SZA=133.4 LST= 0.00 Dip= 77.7 Ec= 0.019 Ie=0
   Z     Edep      Itot     I(O)      I(O2)     I(N2)
  30.0  3.15E-03  9.78E-05  1.26E-12  2.29E-05  7.49E-05
  31.0  2.46E-03  7.20E-05  9.39E-13  1.67E-05  5.53E-05
  32.0  1.96E-03  5.75E-05  7.49E-13  1.33E-05  4.41E-05
  33.0  1.64E-03  4.82E-05  6.28E-13  1.12E-05  3.70E-05
  34.0  1.42E-03  4.16E-05  5.42E-13  9.64E-06  3.19E-05
  35.0  1.22E-03  3.59E-05  4.68E-13  8.33E-06  2.76E-05
  36.0  1.06E-03  3.12E-05  4.06E-13  7.23E-06  2.39E-05
  37.0  9.18E-04  2.69E-05  3.51E-13  6.25E-06  2.07E-05
  38.0  7.95E-04  2.33E-05  3.04E-13  5.41E-06  1.79E-05
  39.0  6.88E-04  2.02E-05  2.63E-13  4.68E-06  1.55E-05
  40.0  5.96E-04  1.75E-05  2.28E-13  4.06E-06  1.34E-05
  41.0  5.16E-04  1.52E-05  1.98E-13  3.52E-06  1.16E-05
  42.0  4.49E-04  1.32E-05  1.72E-13  3.06E-06  1.01E-05
  43.0  4.01E-04  1.18E-05  1.53E-13  2.73E-06  9.02E-06
  44.0  4.60E-04  1.33E-05  1.73E-13  3.08E-06  1.02E-05
  45.0  1.34E-03  3.73E-05  4.87E-13  8.62E-06  2.87E-05
  46.0  7.91E-03  2.18E-04  2.84E-12  5.02E-05  1.68E-04
  47.0  4.86E-02  1.34E-03  1.74E-11  3.08E-04  1.03E-03
  48.0  2.66E-01  7.30E-03  9.52E-11  1.68E-03  5.62E-03
  49.0  1.27E+00  3.49E-02  4.55E-10  8.05E-03  2.69E-02
  50.0  5.33E+00  1.47E-01  1.91E-09  3.38E-02  1.13E-01
  51.0  1.98E+01  5.43E-01  7.08E-09  1.25E-01  4.18E-01
  52.0  6.51E+01  1.79E+00  2.33E-08  4.12E-01  1.38E+00
  53.0  1.92E+02  5.26E+00  6.86E-08  1.21E+00  4.05E+00
  54.0  5.08E+02  1.39E+01  1.82E-07  3.21E+00  1.07E+01
  55.0  1.22E+03  3.35E+01  4.37E-07  7.72E+00  2.58E+01
  56.0  2.68E+03  7.35E+01  9.60E-07  1.69E+01  5.66E+01
  57.0  5.41E+03  1.48E+02  1.94E-06  3.42E+01  1.14E+02
  58.0  1.01E+04  2.77E+02  3.62E-06  6.39E+01  2.13E+02
  59.0  1.75E+04  4.81E+02  6.28E-06  1.11E+02  3.70E+02
  60.0  2.85E+04  7.82E+02  1.02E-05  1.80E+02  6.02E+02
  61.0  4.35E+04  1.19E+03  1.56E-05  2.75E+02  9.19E+02
  62.0  6.27E+04  1.72E+03  2.25E-05  3.97E+02  1.32E+03
  63.0  8.59E+04  2.36E+03  3.07E-05  5.43E+02  1.81E+03
  64.0  1.12E+05  3.07E+03  4.01E-05  7.08E+02  2.37E+03
  65.0  1.40E+05  3.84E+03  5.01E-05  8.85E+02  2.96E+03
  66.0  1.68E+05  4.62E+03  6.02E-05  1.06E+03  3.56E+03
  67.0  1.95E+05  5.36E+03  6.98E-05  1.23E+03  4.13E+03
  68.0  2.20E+05  6.02E+03  7.84E-05  1.38E+03  4.64E+03
  69.0  2.40E+05  6.58E+03  8.55E-05  1.51E+03  5.07E+03
  70.0  2.55E+05  7.00E+03  9.10E-05  1.61E+03  5.39E+03
  71.0  2.66E+05  7.29E+03  9.47E-05  1.67E+03  5.62E+03
  72.0  2.71E+05  7.44E+03  9.66E-05  1.71E+03  5.73E+03
  73.0  2.72E+05  7.45E+03  9.67E-05  1.71E+03  5.74E+03
  74.0  2.68E+05  7.35E+03  1.15E-04  1.68E+03  5.66E+03
  75.0  2.61E+05  7.14E+03  3.30E-04  1.63E+03  5.50E+03
  76.0  2.50E+05  6.85E+03  9.05E-04  1.57E+03  5.28E+03
  77.0  2.37E+05  6.49E+03  2.37E-03  1.48E+03  5.01E+03
  78.0  2.23E+05  6.09E+03  5.90E-03  1.39E+03  4.70E+03
  79.0  2.07E+05  5.67E+03  1.39E-02  1.29E+03  4.37E+03
  80.0  1.91E+05  5.23E+03  3.10E-02  1.19E+03  4.03E+03
  81.0  1.75E+05  4.79E+03  6.53E-02  1.09E+03  3.70E+03
  82.0  1.59E+05  4.36E+03  1.29E-01  9.91E+02  3.37E+03
  83.0  1.44E+05  3.94E+03  2.42E-01  8.96E+02  3.05E+03
  84.0  1.30E+05  3.55E+03  4.28E-01  8.06E+02  2.75E+03
  85.0  1.17E+05  3.19E+03  7.14E-01  7.22E+02  2.47E+03
  86.0  1.04E+05  2.85E+03  1.13E+00  6.44E+02  2.21E+03
  87.0  9.29E+04  2.54E+03  1.70E+00  5.72E+02  1.97E+03
  88.0  8.25E+04  2.26E+03  2.43E+00  5.07E+02  1.75E+03
  89.0  7.31E+04  2.00E+03  3.33E+00  4.48E+02  1.55E+03
  90.0  6.46E+04  1.77E+03  4.36E+00  3.94E+02  1.37E+03
  91.0  5.69E+04  1.56E+03  5.50E+00  3.46E+02  1.21E+03
  92.0  5.00E+04  1.37E+03  6.68E+00  3.02E+02  1.06E+03
  93.0  4.38E+04  1.20E+03  7.83E+00  2.63E+02  9.27E+02
  94.0  3.82E+04  1.05E+03  8.90E+00  2.28E+02  8.08E+02
  95.0  3.31E+04  9.08E+02  9.82E+00  1.97E+02  7.02E+02
  96.0  2.87E+04  7.86E+02  1.05E+01  1.69E+02  6.06E+02
  97.0  2.47E+04  6.77E+02  1.10E+01  1.44E+02  5.22E+02
  98.0  2.11E+04  5.80E+02  1.13E+01  1.22E+02  4.47E+02
  99.0  1.80E+04  4.95E+02  1.14E+01  1.03E+02  3.81E+02
 100.0  1.53E+04  4.21E+02  1.12E+01  8.66E+01  3.23E+02
 101.0  1.29E+04  3.56E+02  1.09E+01  7.23E+01  2.73E+02
 102.0  1.09E+04  3.00E+02  1.04E+01  6.00E+01  2.29E+02
 103.0  9.13E+03  2.52E+02  9.82E+00  4.96E+01  1.92E+02
 104.0  7.64E+03  2.11E+02  9.19E+00  4.08E+01  1.61E+02
 105.0  6.37E+03  1.76E+02  8.53E+00  3.35E+01  1.34E+02
 106.0  5.31E+03  1.47E+02  7.85E+00  2.74E+01  1.12E+02
 107.0  4.42E+03  1.22E+02  7.19E+00  2.23E+01  9.29E+01
 108.0  3.67E+03  1.02E+02  6.54E+00  1.82E+01  7.71E+01
 109.0  3.05E+03  8.47E+01  5.93E+00  1.48E+01  6.40E+01
 110.0  2.54E+03  7.05E+01  5.35E+00  1.20E+01  5.31E+01
 111.5  1.92E+03  5.34E+01  4.54E+00  8.76E+00  4.01E+01
 113.0  1.46E+03  4.07E+01  3.84E+00  6.42E+00  3.04E+01
 114.5  1.11E+03  3.11E+01  3.24E+00  4.72E+00  2.32E+01
 116.0  8.56E+02  2.40E+01  2.73E+00  3.50E+00  1.78E+01
 118.0  6.12E+02  1.72E+01  2.17E+00  2.38E+00  1.27E+01
 120.0  4.48E+02  1.26E+01  1.74E+00  1.66E+00  9.22E+00
 122.0  3.37E+02  9.54E+00  1.43E+00  1.19E+00  6.92E+00
 124.0  2.65E+02  7.51E+00  1.21E+00  8.95E-01  5.41E+00
 126.0  2.13E+02  6.07E+00  1.04E+00  6.91E-01  4.34E+00
 128.0  1.75E+02  4.99E+00  9.04E-01  5.43E-01  3.54E+00
 130.0  1.45E+02  4.16E+00  7.95E-01  4.34E-01  2.93E+00
 132.0  1.22E+02  3.51E+00  7.05E-01  3.51E-01  2.45E+00
 134.0  1.04E+02  2.99E+00  6.29E-01  2.88E-01  2.07E+00
 136.0  8.91E+01  2.57E+00  5.65E-01  2.39E-01  1.77E+00
 138.0  7.70E+01  2.23E+00  5.11E-01  2.00E-01  1.52E+00
 140.0  6.70E+01  1.95E+00  4.64E-01  1.68E-01  1.31E+00
 142.0  5.86E+01  1.71E+00  4.23E-01  1.43E-01  1.14E+00
 144.0  5.16E+01  1.51E+00  3.87E-01  1.23E-01  9.99E-01
 146.0  4.57E+01  1.34E+00  3.55E-01  1.05E-01  8.78E-01
 148.0  4.06E+01  1.19E+00  3.27E-01  9.13E-02  7.74E-01
 150.0  3.62E+01  1.07E+00  3.02E-01  7.94E-02  6.85E-01
 153.0  3.07E+01  9.07E-01  2.69E-01  6.49E-02  5.73E-01
 156.0  2.62E+01  7.77E-01  2.41E-01  5.34E-02  4.83E-01
 159.0  2.25E+01  6.70E-01  2.17E-01  4.43E-02  4.09E-01
 162.0  1.94E+01  5.80E-01  1.96E-01  3.70E-02  3.48E-01
 165.0  1.68E+01  5.05E-01  1.77E-01  3.10E-02  2.97E-01
 168.0  1.47E+01  4.42E-01  1.61E-01  2.61E-02  2.54E-01
 172.0  1.23E+01  3.71E-01  1.42E-01  2.09E-02  2.08E-01
 176.0  1.03E+01  3.14E-01  1.26E-01  1.68E-02  1.71E-01
 180.0  8.73E+00  2.67E-01  1.12E-01  1.35E-02  1.41E-01
 185.0  7.11E+00  2.19E-01  9.72E-02  1.04E-02  1.11E-01
 190.0  5.82E+00  1.81E-01  8.46E-02  8.02E-03  8.82E-02
 195.0  4.79E+00  1.50E-01  7.37E-02  6.21E-03  7.01E-02
 200.0  3.96E+00  1.25E-01  6.44E-02  4.82E-03  5.59E-02
 205.0  3.29E+00  1.05E-01  5.63E-02  3.75E-03  4.47E-02
 211.0  2.63E+00  8.50E-02  4.81E-02  2.78E-03  3.42E-02
 217.0  2.12E+00  6.93E-02  4.10E-02  2.07E-03  2.62E-02
 223.0  1.71E+00  5.67E-02  3.51E-02  1.54E-03  2.01E-02
 230.0  1.34E+00  4.51E-02  2.92E-02  1.09E-03  1.48E-02
 237.0  1.06E+00  3.59E-02  2.43E-02  7.72E-04  1.09E-02
 244.0  8.45E-01  2.88E-02  2.02E-02  5.48E-04  8.04E-03
 252.0  6.49E-01  2.24E-02  1.63E-02  3.71E-04  5.68E-03
 260.0  4.98E-01  1.75E-02  1.32E-02  2.52E-04  4.02E-03
 268.0  3.83E-01  1.37E-02  1.07E-02  1.71E-04  2.85E-03
 276.0  2.95E-01  1.08E-02  8.70E-03  1.16E-04  2.02E-03
 284.0  2.29E-01  8.60E-03  7.08E-03  7.93E-05  1.44E-03
 292.0  1.79E-01  6.85E-03  5.77E-03  5.42E-05  1.03E-03
 300.0  1.41E-01  5.48E-03  4.71E-03  3.71E-05  7.36E-04
 309.0  1.09E-01  4.29E-03  3.76E-03  2.43E-05  5.06E-04
 318.0  8.52E-02  3.38E-03  3.02E-03  1.60E-05  3.49E-04
 327.0  6.73E-02  2.68E-03  2.42E-03  1.05E-05  2.42E-04
 336.0  5.37E-02  2.13E-03  1.95E-03  6.96E-06  1.68E-04
 345.0  4.33E-02  1.70E-03  1.58E-03  4.61E-06  1.17E-04
 355.0  3.45E-02  1.33E-03  1.25E-03  2.92E-06  7.82E-05
 365.0  2.77E-02  1.04E-03  9.89E-04  1.86E-06  5.25E-05
 375.0  2.25E-02  8.22E-04  7.86E-04  1.18E-06  3.53E-05
 385.0  1.84E-02  6.50E-04  6.26E-04  7.54E-07  2.38E-05
 395.0  1.52E-02  5.15E-04  4.99E-04  4.82E-07  1.61E-05
 406.0  1.24E-02  4.00E-04  3.89E-04  2.95E-07  1.05E-05
 417.0  1.03E-02  3.11E-04  3.04E-04  1.81E-07  6.82E-06
 428.0  8.55E-03  2.43E-04  2.38E-04  1.11E-07  4.45E-06
 440.0  7.06E-03  1.85E-04  1.83E-04  6.56E-08  2.80E-06
 453.0  5.81E-03  1.39E-04  1.37E-04  3.71E-08  1.70E-06
 467.0  4.77E-03  1.02E-04  1.01E-04  2.01E-08  9.96E-07
 482.0  3.91E-03  7.33E-05  7.28E-05  1.05E-08  5.63E-07
 498.0  3.20E-03  5.17E-05  5.14E-05  5.25E-09  3.07E-07
 515.0  2.64E-03  3.58E-05  3.56E-05  2.52E-09  1.62E-07
 533.0  2.19E-03  2.43E-05  2.42E-05  1.17E-09  8.24E-08
 551.0  1.84E-03  1.66E-05  1.65E-05  5.42E-10  4.21E-08
 570.0  1.56E-03  1.11E-05  1.10E-05  2.42E-10  2.08E-08
 590.0  1.34E-03  7.25E-06  7.24E-06  1.04E-10  9.95E-09
 610.0  1.16E-03  4.77E-06  4.76E-06  4.51E-11  4.78E-09
 630.0  1.03E-03  3.14E-06  3.14E-06  1.96E-11  2.31E-09
